#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
41;右下臂置换，含备件;Lower right arm replacement, with spare part;Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;387411525001. .Çin, Original;387411525001;Lower right control arm;右下控制臂;Suspension;;China;New;Original;;;
42;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;894440793001. .Çin, Original;894440793001;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
43;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;387043912054. .Çin, Original;387043912054;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
44;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;387043912001. .Çin, Original;387043912001;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
45;更换ABS传感器，使用新的传感器和备件。;Replacing the ABS sensor with a new one, along with the spare part;ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387006149001. .Çin, Original;387006149001;ABS sensor;ABS传感器;Braking System / Sensors;;China;New;Original;;;
46;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;982720209276. .Çin, Original;982720209276;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
47;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;898004329051. .Çin, Original;898004329051;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
48;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;897312108151. .Çin, Original;897312108151;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
49;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;A00020048451. .Çin, Original;A00020048451;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
50;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
51;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
52;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;951631014001. .Çin, Original;951631014001;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
53;更换后减震器，包括备件。;Replacement of the rear shock absorber with a new one, including the spare part;Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387011038101. .Çin, Original;387011038101;Rear shock absorber;后减震器;Suspension;;China;New;Original;;;
54;更换前减震器，包括备件。;Replacement of the front shock absorber with a new one, including the spare part;Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387031534201. .Çin, Original;387031534201;Front shock absorber;前减震器;Suspension;;China;New;Original;;;
55;冰箱（空调）制冷剂（氟利昂）的填充量（克）;Filling of refrigerator (air conditioner) gas (freon) in grams;Soyuducunun (kondisionerin) qazının (freonun) qramla doldurulması;R134A  Xidmət.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;;China;New;Original;;;
56;更换冰箱（空调）压缩机，包括更换新压缩机和备件。;Replacement of the refrigerator (air conditioner) compressor with a new one, including spare parts;Soyuducunun (kondisionerin) kompressorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;387445108001. .Çin, Original;387445108001;Air conditioning compressor;空调压缩机;Air Conditioning;;China;New;Original;;;
57;更换冰箱（空调）的空气过滤器，包括更换新的过滤器和备用零件。;Replacing the air filter of the refrigerator (air conditioner) with a new one, along with a spare part;Soyuducunun (kondisionerin) hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8981402650.Çin, Original;8981402650;Air conditioning air filter;空调空气滤清器;Air Conditioning;;China;New;Original;;;
58;更换后刹车片（含备件）;Replacement of rear brake pads with new ones, including spare parts;Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;377777421254. .Çin, Original;377777421254;Rear brake caliper;后制动卡钳;Brake System;;China;New;Original;;;
59;更换前刹车片（含备件）;Replacement of front brake pads with new ones, including spare parts;Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;377777421254. .Çin, Original;377777421254;Front brake caliper;前制动卡钳;Brake System;;China;New;Original;;;
60;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2339303295.Çin, Original;2339303295;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;;;
61;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;305P0082.Çin, Original;305P0082;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
62;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;390241564.Çin, Original;390241564;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
63;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3397007187.Çin, Original;3397007187;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
64;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;77365231.Çin, Original;77365231;Master cylinder;主缸;Braking System;;China;New;Original;;;
65;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;55227259.Çin, Original;55227259;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
66;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;WS3369GS14.Çin, Original;WS3369GS14;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
67;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;51916658.Çin, Original;51916658;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;;;
68;更换左前内挡泥板，使用新的内挡泥板，并附上备件。;Replacement of the front left inner fender with a new one, along with the spare part;Ön sol iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;302009100020.Çin, Original;302009100020;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
69;更换左前外壳，包括备用零件。;Replacement of the front left outer shell with a new one, including a spare part;Ön sol çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;FT25083K.Çin, Original;FT25083K;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
70;更换右前外壳，包括备用零件。;Replacement of the front right outer shell with a new one, including a spare part;Ön sağ çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;FT25542.Çin, Original;FT25542;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
71;更换右前内挡泥板，包括备用零件。;Replacement of the front right inner fender with a new one, including the spare part;Ön sağ iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;55214684.Çin, Original;55214684;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
72;更换压力盘（杯状物），包括备件。;Replacing the pressure disc (cup) with a new one, including spare parts;Sıxıcı disk (çaşka) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;71753318.Çin, Original;71753318;Clutch pressure plate;离合器压盘;Clutch System;;China;New;Original;;;
73;用新的圆盘（feredo）替换磨损的圆盘，并附上备用零件。;Replacing the worn disc (feredo) with a new one, along with a spare part;Aparılan disk (feredo) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;55212655.Çin, Original;55212655;Clutch disc;离合器摩擦片;Clutch System;;China;New;Original;;;
74;更换离合器及离合器片（vizhimnoy），包括新的离合器片和备件。;Replacement of the clutch with the clutch pad (vizhimnoy) with a new one, along with the spare part;Sıxıcı mufta yastığı ilə birlikdə (vıjimnoy) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;AISIN BE-FI02.Çin, Original;AISIN BE-FI02;Clutch release bearing;离合器分离轴承;Clutch System;;China;New;Original;;;
75;发动机机油，包括更换;Engine oil, including change;Mühərrik yağı, dəyişilməsi ilə birlikdə;5x30 Bendix Türkiyə.;5x30;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
76;发动机机油滤清器;Engine oil filter;Mühərrik yağ filtri;152071760874.Çin, Original;152071760874;Oil filter;机油滤清器;Engine;;China;New;Original;;;
77;冷却液（防冻液），包括更换;Coolant (antifreeze), including replacement;Soyutma mayesi (antifriz), dəyişdirilməsi ilə birlikdə;Antifreeze -56 3L Bendix, Türkiyə.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
78;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
79;更换燃油滤清器，使用新的滤清器和备用零件。;Replacing the fuel filter with a new one, along with a spare part;Yanacaq süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;F026402049.Çin, Original;F026402049;Fuel filter;燃油滤清器;Fuel System;;China;New;Original;;;
80;更换空气滤清器，包括一个新的和备用的。;Replacing the air filter with a new one, along with a spare part;Hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;51974227.Çin, Original;51974227;Air filter;空气滤清器;Engine;;China;New;Original;;;
81;更换火花塞时，使用新的火花塞和备用零件。;Replacing the spark plug with a new one, along with the spare part;Alışdırma şamının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;DCPR7E.Çin, Original;DCPR7E;Spark plug;火花塞;Engine;;China;New;Original;;;
82;用新灯泡替换旧灯泡，同时使用备用零件。;Replacing the bulb with a new one, along with the spare part;Babinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;986221043.Çin, Original;986221043;Ignition coil;点火线圈;Engine;;China;New;Original;;;
83;更换发动机皮带（链条），使用新的皮带和备用零件。;Replacing the engine belt (chain) with a new one, along with a spare part;Mühərrik qayışının (zəncirinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;6000631712.Çin, Original;6000631712;Engine timing chain;发动机正时链条;Engine;;China;New;Original;;;
84;更换发动机支架，使用新的支架和备件。;Replacing the engine mount with a new one, along with the spare part;Mühərrik yastığının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;51799110.Çin, Original;51799110;Engine mount;发动机支架;Engine;;China;New;Original;;;
85;更换前刹车片（含备件）;Replacement of front brake pads with new ones, including spare parts;Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;KALE B 23710 192 15.Çin, Original;KALE B 23710 192 15;Front brake caliper;前制动卡钳;Brake System;;China;New;Original;;;
86;更换后刹车片（含备件）;Replacement of rear brake pads with new ones, including spare parts;Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;986487773.Çin, Original;986487773;Rear brake caliper;后制动卡钳;Brake System;;China;New;Original;;;
87;更换冰箱（空调）的空气过滤器，包括更换新的过滤器和备用零件。;Replacing the air filter of the refrigerator (air conditioner) with a new one, along with a spare part;Soyuducunun (kondisionerin) hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;77364561.Çin, Original;77364561;Air conditioning air filter;空调空气滤清器;Air Conditioning;;China;New;Original;;;
88;更换冰箱（空调）压缩机，包括更换新压缩机和备件。;Replacement of the refrigerator (air conditioner) compressor with a new one, including spare parts;Soyuducunun (kondisionerin) kompressorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;77364561.Çin, Original;77364561;Air conditioning compressor;空调压缩机;Air Conditioning;;China;New;Original;;;
89;冰箱（空调）制冷剂（氟利昂）的填充量（克）;Filling of refrigerator (air conditioner) gas (freon) in grams;Soyuducunun (kondisionerin) qazının (freonun) qramla doldurulması;R134A  Xidmət.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;;China;New;Original;;;
90;更换前减震器，包括备件。;Replacement of the front shock absorber with a new one, including the spare part;Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;51880838.Çin, Original;51880838;Front shock absorber;前减震器;Suspension;;China;New;Original;;;
91;更换后减震器，包括备件。;Replacement of the rear shock absorber with a new one, including the spare part;Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;51810129.Çin, Original;51810129;Rear shock absorber;后减震器;Suspension;;China;New;Original;;;
92;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;51794798.Çin, Original;51794798;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
93;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
94;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
95;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;0 232 103 048.Çin, Original;0 232 103 048;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
96;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;261210238.Çin, Original;261210238;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
97;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;FAST FT54105.Çin, Original;FAST FT54105;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
98;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;46336109.Çin, Original;46336109;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
99;更换ABS传感器，使用新的传感器和备件。;Replacing the ABS sensor with a new one, along with the spare part;ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;46740213.Çin, Original;46740213;ABS sensor;ABS传感器;Braking System / Sensors;;China;New;Original;;;
